epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,74808.6,2.01138,2.43101,2.05379,0.21196,0.26978,0.16821,0.07007,2.13078,3.13091,2.153,0.00156646,0.00156646,0.00156646
95,75208.1,2.01808,2.41208,2.06457,0.37912,0.26797,0.21723,0.08776,2.12192,2.77256,2.18785,0.00155786,0.00155786,0.00155786
96,75471.6,2.02918,2.42729,2.0707,0.28514,0.2482,0.16021,0.06314,2.16893,2.99484,2.14145,0.00154919,0.00154919,0.00154919
97,75787.6,2.00406,2.4048,2.05173,0.35145,0.23741,0.2134,0.08835,2.12476,2.79353,2.18086,0.00154047,0.00154047,0.00154047
98,76192.5,2.00162,2.35271,2.02351,0.30353,0.30576,0.21775,0.08959,2.11195,2.7134,2.11941,0.00153169,0.00153169,0.00153169
99,76496.3,2.00325,2.37622,2.03007,0.36192,0.28777,0.2298,0.09156,2.07351,2.72742,2.09799,0.00152285,0.00152285,0.00152285
100,76880.4,1.99556,2.39214,2.02732,0.34611,0.26085,0.23007,0.09727,2.12091,2.69943,2.13826,0.00151395,0.00151395,0.00151395
101,77254.8,1.97766,2.35483,2.0139,0.37093,0.32014,0.26956,0.10468,2.06028,2.77209,2.10993,0.001505,0.001505,0.001505
102,77569.2,1.98585,2.37669,2.04175,0.32073,0.28417,0.23119,0.09568,2.1226,2.70674,2.13928,0.00149599,0.00149599,0.00149599
103,77835.4,1.99066,2.3619,2.02502,0.32811,0.29137,0.23273,0.09344,2.07579,2.76742,2.12898,0.00148694,0.00148694,0.00148694
104,78191.9,1.96135,2.35574,2.01115,0.37246,0.23381,0.2189,0.08919,2.10698,2.75897,2.16211,0.00147783,0.00147783,0.00147783
105,78427.4,1.97144,2.34779,2.0032,0.2674,0.32693,0.21428,0.08659,2.11503,2.76721,2.13493,0.00146866,0.00146866,0.00146866
106,78652.1,1.98293,2.32576,2.02904,0.34148,0.32374,0.24731,0.09813,2.10168,2.64546,2.10463,0.00145945,0.00145945,0.00145945
107,78998.6,1.95624,2.3096,2.00827,0.30127,0.26978,0.21616,0.09292,2.09603,2.69555,2.15086,0.00145019,0.00145019,0.00145019
108,79402.7,1.96411,2.35663,2.0195,0.33053,0.29856,0.21636,0.0883,2.12052,2.76128,2.15088,0.00144088,0.00144088,0.00144088
109,79818.8,1.94304,2.32053,2.00674,0.38842,0.26501,0.25339,0.09372,2.2063,2.87682,2.25712,0.00143152,0.00143152,0.00143152
110,80034.1,1.96547,2.3168,2.0163,0.308,0.26619,0.20289,0.07565,2.18486,2.94371,2.18846,0.00142212,0.00142212,0.00142212
111,80327.4,1.96731,2.30144,2.02191,0.32329,0.27152,0.23501,0.09423,2.13017,2.79557,2.18615,0.00141267,0.00141267,0.00141267
112,80531.1,1.94042,2.28662,2.00206,0.43738,0.26978,0.22569,0.08656,2.07375,2.76528,2.14904,0.00140318,0.00140318,0.00140318
113,80804.2,1.97369,2.33204,2.02176,0.28697,0.26619,0.19603,0.07905,2.2107,3.03554,2.21618,0.00139364,0.00139364,0.00139364
114,81089.7,1.94283,2.27324,1.98704,0.33705,0.29496,0.21476,0.0811,2.14007,2.81751,2.17521,0.00138406,0.00138406,0.00138406
115,81357.9,1.93082,2.27431,1.98066,0.29643,0.29137,0.21076,0.07657,2.15709,2.83418,2.18503,0.00137444,0.00137444,0.00137444
116,81638.3,1.93687,2.2599,1.98299,0.30237,0.27338,0.20924,0.08178,2.15553,2.91214,2.15686,0.00136478,0.00136478,0.00136478
117,82149.3,1.96035,2.2763,2.01651,0.26601,0.32461,0.19891,0.07654,2.10606,2.74557,2.14859,0.00135509,0.00135509,0.00135509
118,82481.9,1.90941,2.22525,1.95047,0.29508,0.2554,0.18903,0.07388,2.12993,2.70261,2.14342,0.00134535,0.00134535,0.00134535
119,82796.9,1.92699,2.24313,1.98896,0.32113,0.27698,0.21699,0.08055,2.17975,2.71024,2.17122,0.00133558,0.00133558,0.00133558
120,83205.5,1.92286,2.23276,1.98889,0.33149,0.2554,0.22544,0.08943,2.19734,2.72994,2.22412,0.00132577,0.00132577,0.00132577
121,83539.6,1.91841,2.2112,1.95859,0.2933,0.32374,0.21382,0.07912,2.18312,2.73558,2.17218,0.00131593,0.00131593,0.00131593
122,83836,1.93825,2.22442,1.97214,0.32503,0.30576,0.23692,0.09363,2.14454,2.60724,2.10996,0.00130605,0.00130605,0.00130605
123,84118.2,1.92196,2.24095,1.98581,0.34009,0.32374,0.25111,0.08968,2.14441,2.70749,2.17286,0.00129614,0.00129614,0.00129614
124,84568.1,1.90855,2.20021,1.94993,0.30345,0.2446,0.19224,0.07758,2.18691,2.72566,2.16916,0.0012862,0.0012862,0.0012862
125,84916.2,1.89217,2.20385,1.95618,0.28725,0.27698,0.20571,0.08214,2.14285,2.76911,2.13372,0.00127623,0.00127623,0.00127623
126,85249.5,1.90159,2.17057,1.94368,0.33508,0.32734,0.25221,0.10504,2.11989,2.55072,2.12502,0.00126623,0.00126623,0.00126623
127,85482.6,1.93368,2.2119,1.98596,0.38569,0.26978,0.24499,0.09941,2.16934,2.5235,2.20203,0.0012562,0.0012562,0.0012562
128,85708,1.89825,2.21768,1.9615,0.25039,0.27698,0.21386,0.08439,2.12455,2.69485,2.13417,0.00124615,0.00124615,0.00124615
129,85940,1.8832,2.16495,1.93949,0.28863,0.33131,0.22459,0.09017,2.17102,2.79483,2.20791,0.00123607,0.00123607,0.00123607
130,86933.4,1.88412,2.14182,1.94668,0.3491,0.30576,0.25518,0.09604,2.19146,2.55565,2.19551,0.00122596,0.00122596,0.00122596
131,87915,1.8775,2.14989,1.93436,0.33802,0.3777,0.26788,0.10582,2.17047,2.50783,2.20834,0.00121583,0.00121583,0.00121583
132,90960.9,1.87022,2.16259,1.93142,0.32115,0.33094,0.24558,0.09364,2.1553,2.69333,2.13701,0.00120568,0.00120568,0.00120568
133,91413.6,1.87496,2.14569,1.93094,0.31369,0.26142,0.19485,0.08031,2.1572,2.66158,2.17283,0.00119551,0.00119551,0.00119551
134,93543.2,1.84731,2.1323,1.91452,0.31333,0.27338,0.22276,0.09454,2.1549,2.65501,2.16958,0.00118531,0.00118531,0.00118531
135,94071,1.86078,2.13578,1.92211,0.31819,0.28371,0.19842,0.07958,2.16144,2.71663,2.16838,0.0011751,0.0011751,0.0011751
136,94332.7,1.86492,2.09912,1.905,0.33861,0.32734,0.26767,0.10075,2.15404,2.57668,2.17868,0.00116487,0.00116487,0.00116487
137,94721.7,1.86096,2.12803,1.91659,0.3202,0.29496,0.25777,0.09901,2.18319,2.628,2.18198,0.00115462,0.00115462,0.00115462
138,95019.4,1.8372,2.10087,1.90075,0.3234,0.28058,0.23801,0.09085,2.18373,2.64609,2.19061,0.00114436,0.00114436,0.00114436
139,95462.5,1.83699,2.06841,1.90706,0.31715,0.31655,0.23505,0.08701,2.17433,2.67474,2.16253,0.00113408,0.00113408,0.00113408
140,95931.5,1.86959,2.10222,1.92251,0.32213,0.30576,0.25056,0.08885,2.13404,2.55131,2.16155,0.00112379,0.00112379,0.00112379
141,96365.4,1.84333,2.08908,1.91884,0.29664,0.27698,0.20891,0.08249,2.10084,2.66571,2.13572,0.00111348,0.00111348,0.00111348
142,96754.8,1.87081,2.11343,1.92409,0.32278,0.28417,0.22958,0.0868,2.19799,2.73168,2.17789,0.00110317,0.00110317,0.00110317
143,97228.9,1.82432,2.06526,1.88806,0.37007,0.2518,0.22732,0.08756,2.17416,2.66784,2.18701,0.00109284,0.00109284,0.00109284
144,97596.3,1.83218,2.0839,1.90548,0.31705,0.28058,0.22926,0.08977,2.16321,2.61722,2.22037,0.00108251,0.00108251,0.00108251
145,98160.5,1.85266,2.07826,1.91534,0.2989,0.29905,0.21772,0.08685,2.17748,2.64116,2.18955,0.00107216,0.00107216,0.00107216
146,98389.3,1.79824,2.03109,1.85767,0.30426,0.23741,0.21048,0.0823,2.21491,2.7279,2.27053,0.00106181,0.00106181,0.00106181
147,98790.6,1.84922,2.08178,1.91035,0.37848,0.22662,0.23051,0.08849,2.13897,2.72126,2.20438,0.00105146,0.00105146,0.00105146
148,99238.5,1.83562,2.03076,1.88115,0.28488,0.31295,0.23569,0.09227,2.19434,2.60649,2.22193,0.0010411,0.0010411,0.0010411
149,99732.8,1.80825,1.98082,1.86589,0.28775,0.2554,0.19936,0.07866,2.23205,2.67455,2.25581,0.00103073,0.00103073,0.00103073
150,100035,1.8255,2.04691,1.90026,0.33976,0.27698,0.22408,0.07891,2.21904,2.60963,2.27602,0.00102037,0.00102037,0.00102037
151,100345,1.80617,2.0211,1.88537,0.32713,0.27338,0.22737,0.08432,2.1787,2.58249,2.2475,0.00101,0.00101,0.00101
152,100558,1.78163,1.96819,1.85343,0.32124,0.31655,0.23181,0.0841,2.20307,2.69912,2.21327,0.000999633,0.000999633,0.000999633
153,100830,1.78861,1.96152,1.84708,0.29304,0.28417,0.20963,0.07905,2.24421,2.60852,2.25694,0.000989267,0.000989267,0.000989267
154,101097,1.80364,1.98335,1.87314,0.32679,0.25899,0.22586,0.0824,2.24976,2.68293,2.25916,0.000978903,0.000978903,0.000978903
155,101374,1.82211,1.98888,1.88281,0.3793,0.24101,0.22079,0.07571,2.18876,2.67109,2.2124,0.000968543,0.000968543,0.000968543
156,101731,1.77998,1.9629,1.85217,0.31442,0.27338,0.22613,0.07881,2.2078,2.6287,2.2262,0.000958187,0.000958187,0.000958187
157,102001,1.7836,1.97152,1.86536,0.3302,0.30576,0.23856,0.08437,2.16969,2.56037,2.1992,0.000947837,0.000947837,0.000947837
158,102317,1.79166,1.97946,1.8538,0.28046,0.30935,0.22396,0.08273,2.17499,2.57847,2.23164,0.000937494,0.000937494,0.000937494
159,102583,1.77268,1.94427,1.8513,0.32087,0.29856,0.23269,0.08755,2.23311,2.60761,2.27784,0.000927159,0.000927159,0.000927159
160,102972,1.7875,1.95338,1.86587,0.30121,0.29496,0.22512,0.08609,2.23084,2.63576,2.23642,0.000916833,0.000916833,0.000916833
161,103358,1.75686,1.91761,1.84085,0.33165,0.30216,0.25143,0.0985,2.13355,2.54404,2.16912,0.000906517,0.000906517,0.000906517
162,103685,1.7728,1.95887,1.85539,0.34777,0.28417,0.23685,0.0961,2.16457,2.68144,2.18902,0.000896212,0.000896212,0.000896212
163,104066,1.75899,1.91863,1.84373,0.36044,0.2518,0.23034,0.09304,2.16159,2.56791,2.21138,0.00088592,0.00088592,0.00088592
164,104550,1.77121,1.93595,1.84137,0.30203,0.27698,0.21397,0.07403,2.20082,2.64737,2.21454,0.000875642,0.000875642,0.000875642
165,104937,1.76293,1.92632,1.84867,0.43796,0.23022,0.21868,0.08062,2.1963,2.67135,2.23808,0.000865378,0.000865378,0.000865378
166,105151,1.73972,1.91968,1.81907,0.31049,0.30576,0.25268,0.09711,2.18049,2.52682,2.22199,0.00085513,0.00085513,0.00085513
167,105424,1.74605,1.92008,1.82758,0.30251,0.30216,0.22868,0.09107,2.17093,2.51807,2.20751,0.000844899,0.000844899,0.000844899
168,105625,1.75376,1.90018,1.8287,0.28261,0.27338,0.21086,0.08388,2.2526,2.76615,2.29386,0.000834686,0.000834686,0.000834686
169,105916,1.73727,1.89722,1.82052,0.33466,0.28417,0.22696,0.09363,2.18863,2.53483,2.20197,0.000824492,0.000824492,0.000824492
170,106239,1.72373,1.86362,1.80382,0.30486,0.28058,0.20465,0.08528,2.24019,2.58716,2.29063,0.000814319,0.000814319,0.000814319
171,106611,1.72506,1.8743,1.81168,0.33181,0.28044,0.24095,0.08659,2.25897,2.59677,2.29074,0.000804167,0.000804167,0.000804167
172,106942,1.72183,1.86432,1.80875,0.32008,0.24101,0.21156,0.08127,2.26152,2.66187,2.28615,0.000794038,0.000794038,0.000794038
173,107313,1.7175,1.84547,1.80838,0.30957,0.29496,0.22129,0.0913,2.24783,2.57239,2.25411,0.000783933,0.000783933,0.000783933
174,107667,1.68362,1.82568,1.7866,0.30451,0.23381,0.18765,0.07198,2.24578,2.68988,2.25132,0.000773852,0.000773852,0.000773852
